ORIG_FID,D_Angle,POINT_X,POINT_Y,SVI_ID,building,sky,tree,road,sidewalk,person,car,skyscraper,streetlight,wall,fence,railing,awning,signboard,ashcan,earth,van,plant,chair,bulletin board,grass,bicycle,ceiling,minibike,windowpane,mountain,column,bridge,water,sculpture,fountain,booth,lamp,pier,glass,sofa
81,76.08763839,-74.01035282,40.70324441,44,0.482371,0.025973,0.002301,0.372758,0.024344,0.002613,0.004457,0.0,4.3e-05,0.0,0.0,0.0,0.001875,0.000785,0.000523,0.0,0.0,0.008812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,56.501901,-74.00920987,40.70393769,46,0.407902,0.024551,0.078066,0.212621,0.144047,0.009098,0.022629,0.0,0.000398,0.029477,0.0,0.0,0.0,0.000109,0.001551,0.0,0.0,0.007395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,55.18379219,-74.00830165,40.70454996,47,0.365809,0.036789,0.135152,0.314672,0.016992,0.000375,0.092867,0.0,0.002484,0.0,0.0,0.0,0.0,0.0,9.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,54.85599622,-74.0069066,40.70552453,49,0.362688,0.030348,0.154258,0.337766,0.041836,0.000988,0.065949,0.0,0.0,0.0,0.0,0.0,0.0,0.004988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,55.25637069,-74.0052027,40.7067135,51,0.369328,0.056781,0.108902,0.36273,0.034625,0.003973,0.050277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,166.0882957,-74.01285019,40.70252458,53,0.238379,0.229949,0.048625,0.352309,0.072012,0.007738,0.011285,0.0,0.00391,0.000414,0.00518,0.0,0.0,0.00198,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,287.3499397,-74.01352817,40.70794741,55,0.547926,0.021094,0.000336,0.279215,0.040379,0.003883,0.046504,0.0,0.001082,0.0,0.0,0.0,0.00398,0.0,0.0,0.0,0.043555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,288.0102298,-74.01415672,40.70815095,57,0.72577,0.010656,0.00257,0.100305,0.064098,0.020934,0.020922,0.0,0.0,0.0,0.0,0.000629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054059,0.0,0.0,0.0,0.0,0.0
98,285.8207659,-74.0149532,40.70838604,58,0.440234,0.062555,0.049391,0.143422,0.163664,0.014531,0.065973,0.0,0.000816,0.011812,0.0,0.0,0.0,0.0,0.0,0.0,0.033324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,92.30381677,-74.01273274,40.70500692,60,0.310246,0.000461,0.000102,0.112695,0.241668,0.029871,0.016367,0.0,0.0,0.101168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137031,0.0,0.0,0.0,0.000133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
